"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.00337299553832e-14,9,270,69.0787878787879,"Keratinization "," http://amigo.geneontology.org/amigo/term/GO:0031424"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  LCE3A  LCE3B  LCE1B  LCE3C"
4.23927240217729e-13,9,350,53.2893506493507,"Keratinocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030216"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  LCE3A  LCE3B  LCE1B  LCE3C"
1.50765307927944e-12,9,421,44.3023105160872,"Epidermal cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0009913"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  LCE3A  LCE3B  LCE1B  LCE3C"
3.18116520373989e-12,9,472,39.5154083204931,"Skin development "," http://amigo.geneontology.org/amigo/term/GO:0043588"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  LCE3A  LCE3B  LCE1B  LCE3C"
4.11831870715892e-12,10,855,24.2381711855396,"Epithelial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030855"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  CDK1  LCE3A  LCE3B  LCE1B  LCE3C"
6.04139977234018e-12,9,530,35.1910806174957,"Epidermis development "," http://amigo.geneontology.org/amigo/term/GO:0008544"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  LCE3A  LCE3B  LCE1B  LCE3C"
4.71802943523191e-10,10,1421,14.5838398055147,"Epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," CASP14  LCE2B  IVL  SPRR1B  SPRR1A  CDK1  LCE3A  LCE3B  LCE1B  LCE3C"
1.31786900556066e-05,4,126,65.7893217893218,"Cornification "," http://amigo.geneontology.org/amigo/term/GO:0070268"," CASP14  IVL  SPRR1B  SPRR1A"
3.62649068153018e-05,3,41,151.636363636364,"Peptide cross-linking "," http://amigo.geneontology.org/amigo/term/GO:0018149"," IVL  SPRR1B  SPRR1A"
0.000444812434480135,3,97,64.0937207122774,"Killing of cells of other organism "," http://amigo.geneontology.org/amigo/term/GO:0031640"," LCE3A  LCE3B  LCE3C"
0.000589890778887712,3,110,56.5190082644628,"Defense response to Gram-negative bacterium "," http://amigo.geneontology.org/amigo/term/GO:0050829"," LCE3A  LCE3B  LCE3C"
0.00095455681304496,3,133,46.7450444292549,"Defense response to Gram-positive bacterium "," http://amigo.geneontology.org/amigo/term/GO:0050830"," LCE3A  LCE3B  LCE3C"
0.00932801552554585,3,295,21.0748844375963,"Cell killing "," http://amigo.geneontology.org/amigo/term/GO:0001906"," LCE3A  LCE3B  LCE3C"
0.0120261901103089,3,330,18.8396694214876,"Defense response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0042742"," LCE3A  LCE3B  LCE3C"
0.0191018025939159,2,87,47.6405433646813,"Positive regulation of mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:1901992"," ESPL1  CDK1"
0.0316245574467836,1,3,690.787878787879,"Isopeptide cross-linking "," http://amigo.geneontology.org/amigo/term/GO:0018262"," IVL"
0.0316245574467836,2,122,33.973174366617,"Positive regulation of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0045931"," ESPL1  CDK1"
0.0316245574467836,2,123,33.6969696969697,"Positive regulation of cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:1901989"," ESPL1  CDK1"
0.033985264632977,1,4,518.090909090909,"Regulation of Schwann cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0014038"," CDK1"
0.033985264632977,1,4,518.090909090909,"Peptidyl-glutamine modification "," http://amigo.geneontology.org/amigo/term/GO:0018199"," IVL"
0.033985264632977,1,4,518.090909090909,"Positive regulation of mitochondrial ATP synthesis coupled electron transport "," http://amigo.geneontology.org/amigo/term/GO:1905448"," CDK1"
0.0405417063915678,1,5,414.472727272727,"Negative regulation of sister chromatid cohesion "," http://amigo.geneontology.org/amigo/term/GO:0045875"," ESPL1"
0.0465246227538249,1,6,345.393939393939,"Regulation of mitochondrial ATP synthesis coupled electron transport "," http://amigo.geneontology.org/amigo/term/GO:1905446"," CDK1"
0.0520057056810628,1,7,296.051948051948,"Golgi disassembly "," http://amigo.geneontology.org/amigo/term/GO:0090166"," CDK1"
0.0568901231986153,2,196,21.1465677179963,"Mitotic sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000070"," ESPL1  CDK1"
0.0660652898438885,3,741,8.39013617960986,"Response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," LCE3A  LCE3B  LCE3C"
0.068934662478535,2,225,18.4210101010101,"Sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0000819"," ESPL1  CDK1"
0.0699870824457423,1,11,188.396694214876,"Ventricular cardiac muscle cell development "," http://amigo.geneontology.org/amigo/term/GO:0055015"," CDK1"
