node1,node2
ACAD8,ACAA2
ACAD8,ACADS
ACAD8,ACADSB
ACAD8,BCKDHA
ACAD8,BCKDHB
ACAD8,DBT
ACAD8,DLD
ACAD8,ECHS1
ACAD8,EHHADH
ACAD8,HADHA
COPG2,ARCN1
COPG2,COPA
COPG2,COPB1
COPG2,COPB2
COPG2,COPE
COPG2,COPG1
COPG2,COPZ1
COPG2,COPZ2
COPG2,GBF1
COPG2,SCYL1
PEX3,ABCD3
PEX3,PEX11A
PEX3,PEX11B
PEX3,PEX12
PEX3,PEX13
PEX3,PEX14
PEX3,PEX16
PEX3,PEX19
PEX3,PEX2
PEX3,SLC25A17
ITSN2,EPS15
ITSN2,EPS15L1
ITSN2,ARF6
ITSN2,UBQLN2
ITSN2,ITSN1
ITSN2,ARFGAP1
ITSN2,DNM1
ITSN2,CLTCL1
ITSN2,AP2A2
ITSN2,CDC42
KLC2,KIF5A
KLC2,KLC1
KLC2,KIF5C
KLC2,CLSTN1
KLC2,KLC4
KLC2,KLC3
KLC2,GSK3B
KLC2,SNCA
KLC2,NEFL
KLC2,KIF5B
MACF1,CAMSAP3
MACF1,RAPSN
MACF1,MAPRE1
MACF1,AXIN1
MACF1,ERBB2
MACF1,DISC1
MACF1,TANGO6
MACF1,CLASP2
MACF1,SYNE3
MACF1,GOLGA4
FAM63A,UBB
FAM63A,RPS27A
FAM63A,UBA52
FAM63A,FAM188B
FAM63A,FAM188A
FAM63A,DENND4C
FAM63A,ANKFY1
FAM63A,WHAMM
FAM63A,ANKRD35
FAM63A,UBC
UNC13D,STX11
UNC13D,STXBP2
UNC13D,RAB11A
UNC13D,RAB27B
UNC13D,LYST
UNC13D,SH2D1A
UNC13D,PRF1
UNC13D,LRBA
UNC13D,S100A10
UNC13D,RAB27A
HSPH1,DNAJA1
HSPH1,DNAJB1
HSPH1,HSPA2
HSPH1,HSPA9
HSPH1,SGTA
HSPH1,HSPA4
HSPH1,DNAJB4
HSPH1,STIP1
HSPH1,HSPA12A
HSPH1,HSPA8
MYH10,MYL12A
MYH10,MYL6
MYH10,MYL6B
MYH10,MYL12B
MYH10,MYL9
MYH10,MYL3
MYH10,MYL1
MYH10,MYL2
MYH10,MYLK
MYH10,MYH9
FTH1,TFRC
FTH1,FTL
FTH1,RPS17
FTH1,COX8A
FTH1,CD44
FTH1,SCARA5
FTH1,ACO1
FTH1,RPS20
FTH1,RPS29
FTH1,NCOA4
NPR3,NPPB
NPR3,NPPC
NPR3,GUCA2A
NPR3,EMD
NPR3,OSTN
NPR3,GUCY2C
NPR3,GUCA2B
NPR3,GCA
NPR3,PRKG2
NPR3,NPPA
RABAC1,RAB1A
RABAC1,YIF1A
RABAC1,PCLO
RABAC1,RAB7A
RABAC1,ARL6IP5
RABAC1,RIMS2
RABAC1,RAPGEF4
RABAC1,CTNNB1
RABAC1,COPZ1
RABAC1,VAMP2
FAP,ADA
FAP,FN1
FAP,DPP7
FAP,PREP
FAP,POSTN
FAP,PYY
FAP,GIP
FAP,COL1A2
FAP,COL1A1
FAP,GCG
SVIL,KDM1A
SVIL,ACTB
SVIL,KIF14
SVIL,FLOT1
SVIL,AR
SVIL,SH3PXD2A
SVIL,POTEF
SVIL,NEB
SVIL,ACTG1
SVIL,FLOT2
NME2,NME1
NME2,ITGB1BP1
NME2,CMPK2
NME2,DTYMK
NME2,GNB1
NME2,GUK1
NME2,DUT
NME2,ITPA
NME2,AK3
NME2,NME1
NME2,NME2
RGS9,RGS9BP
RGS9,GNAT1
RGS9,GNAT2
RGS9,PDE6G
RGS9,PDE6H
RGS9,PDE6A
RGS9,RGS4
RGS9,PDE6B
RGS9,RGS3
RGS9,GNB5
ABCB5,ABCE1
ABCB5,PROM1
ABCB5,APOA1
ABCB5,SLC22A14
ABCB5,SLCO6A1
ABCB5,SLC6A9
ABCB5,NGFR
ABCB5,KDM5B
ABCB5,SLCO5A1
ABCB5,KCNJ11
DHX38,CDC40
DHX38,CDC5L
DHX38,SLU7
DHX38,CWC25
DHX38,XAB2
DHX38,EFTUD2
DHX38,PRPF8
DHX38,PRPF19
DHX38,SNW1
DHX38,SNRNP200
ABCF1,RPL11
ABCF1,RPS28
ABCF1,RPS23
ABCF1,RPL10A
ABCF1,RPL8
ABCF1,RPS29
ABCF1,RPL19
ABCF1,RPL38
ABCF1,DHX9
ABCF1,ABCE1
CLEC4F,TIMD4
CLEC4F,MPZL2
CLEC4F,CD68
CLEC4F,FAM90A1
